GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Build Go Green,server,SpringBoot,5,3,0,0,2,1,1,1,1,1
Maven Build Go Green,server.model,Meal,268,0,6,0,77,0,28,0,25,0
Maven Build Go Green,server.model,User,5,76,6,6,2,24,6,11,0,11
Maven Build Go Green,server.model,Achievement,20,73,7,7,8,21,8,10,1,10
Maven Build Go Green,server.model,TrackingOption,33,3,0,0,14,2,7,1,7,1
Maven Build Go Green,server.security,AuthenticationPoint,0,39,0,0,0,9,0,3,0,3
Maven Build Go Green,server.security,SecurityConfig,0,69,0,0,0,14,0,4,0,4
Maven Build Go Green,client.FXMLControllers,LoginController,59,0,4,0,15,0,5,0,3,0
Maven Build Go Green,client.FXMLControllers,FoodController,439,0,26,0,83,0,25,0,12,0
Maven Build Go Green,client.FXMLControllers,ProfileController,49,0,0,0,6,0,2,0,2,0
Maven Build Go Green,client.FXMLControllers,TransportController,3,0,0,0,1,0,1,0,1,0
Maven Build Go Green,client.FXMLControllers,CompareController,3,0,0,0,1,0,1,0,1,0
Maven Build Go Green,client.FXMLControllers,RootController,334,0,0,0,61,0,15,0,15,0
Maven Build Go Green,client.FXMLControllers,ScoreController,21,0,0,0,4,0,2,0,2,0
Maven Build Go Green,client.FXMLControllers,EnergyController,4,0,0,0,2,0,2,0,2,0
Maven Build Go Green,server.API,EmissionAPI,3,0,0,0,1,0,1,0,1,0
Maven Build Go Green,server.API,FoodAPI,244,0,14,0,48,0,13,0,6,0
Maven Build Go Green,client,ClientGui,29,0,0,0,9,0,3,0,3,0
Maven Build Go Green,client.serverCommunication,ClientController,359,0,14,0,75,0,15,0,8,0
Maven Build Go Green,client.serverCommunication,UserController,323,0,12,0,69,0,13,0,7,0
Maven Build Go Green,client.serverCommunication,AchievementController,238,0,12,0,55,0,12,0,6,0
Maven Build Go Green,client.serverCommunication,FoodController,3,0,0,0,1,0,1,0,1,0
Maven Build Go Green,client.serverCommunication,EmissionsController,3,0,0,0,1,0,1,0,1,0
Maven Build Go Green,server.controller,AchievementController,6,47,0,2,0,9,1,7,1,6
Maven Build Go Green,server.controller,UserController,0,126,0,4,0,21,0,12,0,10
Maven Build Go Green,client.model,Emission,3,0,0,0,1,0,1,0,1,0
Maven Build Go Green,client.model,Meal,268,0,6,0,77,0,28,0,25,0
Maven Build Go Green,client.model,User,110,0,12,0,27,0,18,0,12,0
Maven Build Go Green,client.model,Achievement,93,0,14,0,29,0,18,0,11,0
